ticker,baslangic,bitis,source,referans
PEGYO,2020-06-17,2020-09-14,kap_tedbir,2020/57
PEGYO,2020-05-12,2020-08-09,kap_tedbir,2020/56
PEKGY,2020-05-12,2020-08-09,kap_tedbir,2020/49
IZMDC,2020-05-23,2020-08-20,kap_tedbir,2020/53
NIBAS,2020-05-01,2020-07-29,kap_tedbir,
RODRG,2020-04-24,2020-07-22,kap_tedbir,
KUTPO,2020-04-24,2020-07-22,kap_tedbir,
RODRG,2020-04-03,2020-07-01,kap_tedbir,2020/41
KLGYO,2020-04-14,2020-07-12,kap_tedbir,2020/43
PENGD,2020-02-29,2020-05-28,kap_tedbir,2020/38
RTALB,2019-12-12,2020-03-10,kap_tedbir,
A1CAP,2019-12-12,2020-03-10,kap_tedbir,
ACP,2019-12-12,2020-03-10,kap_tedbir,
GLRYH,2019-12-19,2020-03-17,kap_tedbir,2020/35
A1CAP,2019-12-19,2020-03-17,kap_tedbir,2020/35
ACP,2019-12-19,2020-03-17,kap_tedbir,2020/35
FORMT,2019-08-10,2019-11-07,kap_tedbir,
TUKAS,2020-02-18,2020-05-17,kap_tedbir,
ANELE,2020-02-21,2020-05-20,kap_tedbir,2020/32
DEVA,2020-01-17,2020-04-15,kap_tedbir,2020/30
HDFGS,2020-02-07,2020-05-06,kap_tedbir,2020/29
IHEVA,2020-01-15,2020-04-13,kap_tedbir,
ACP,2020-01-15,2020-04-13,kap_tedbir,
A1CAP,2020-01-15,2020-04-13,kap_tedbir,
ETYAT,2019-12-28,2020-03-26,kap_tedbir,2020/23
TDGYO,2019-12-25,2020-03-23,kap_tedbir,
SAMAT,2020-07-22,2020-10-19,kap_tedbir,2021/64
DOBUR,2021-07-20,2021-10-17,kap_tedbir,2021/60
DMSAS,2021-07-21,2021-10-18,kap_tedbir,2021/56
BASGZ,2021-07-28,2021-10-25,kap_tedbir,2021/55
PRKAB,2021-06-02,2021-08-30,kap_tedbir,2021/50
NUGYO,2021-06-05,2021-09-02,kap_tedbir,2021/45
OYLUM,2021-06-05,2021-09-02,kap_tedbir,2021/45
DAGI,2021-05-04,2021-08-01,kap_tedbir,2021/40
SNGYO,2021-04-08,2021-07-06,kap_tedbir,2021/34
ADEL,2021-04-06,2021-07-04,kap_tedbir,2021/33
SAMAT,2020-08-07,2020-11-04,kap_tedbir,2021/32
DOGUB,2021-03-04,2021-06-01,kap_tedbir,2021/27
VAKFN,2021-01-22,2021-04-21,kap_tedbir,2021/23
TUREX,2021-01-16,2021-04-15,kap_tedbir,2021/20
PIT,2021-01-16,2021-04-15,kap_tedbir,2021/20
INTEM,2020-12-24,2021-03-23,kap_tedbir,2021/18
IZFAS,2020-12-23,2021-03-22,kap_tedbir,2021/16
SONME,2019-03-22,2019-06-19,kap_tedbir,2021/15
ALBRK,2020-11-24,2021-02-21,kap_tedbir,2021/10
ALK,2020-11-24,2021-02-21,kap_tedbir,2021/10
IZMDC,2022-09-23,2022-12-21,kap_tedbir,1089322
MOBTL,2022-09-09,2022-12-07,kap_tedbir,1086224
KLMSN,2022-09-22,2022-12-20,kap_tedbir,1089087
PAMEL,2022-09-22,2022-12-20,kap_tedbir,1089087
KGYO,2022-08-06,2022-11-03,kap_tedbir,1077041
KAPLM,2022-08-04,2022-11-01,kap_tedbir,1076409
ETYAT,2022-07-28,2022-10-25,kap_tedbir,1074514
KIMMR,2022-07-04,2022-10-01,kap_tedbir,1066468
IMASM,2022-06-29,2022-09-26,kap_tedbir,1065541
PKART,2022-06-29,2022-09-26,kap_tedbir,1065541
FADE,2022-06-10,2022-09-07,kap_tedbir,1061790
SAFKR,2022-06-10,2022-09-07,kap_tedbir,1061790
VKING,2022-06-10,2022-09-07,kap_tedbir,1061790
GRSEL,2022-06-04,2022-09-01,kap_tedbir,1059789
ATSYH,2022-05-28,2022-08-25,kap_tedbir,1058696
SILVR,2022-05-28,2022-08-25,kap_tedbir,1058696
IZMDC,2022-05-11,2022-08-08,kap_tedbir,1053853
CANTE,2022-04-02,2022-06-30,kap_tedbir,1040894
KRSTL,2022-03-03,2022-05-31,kap_tedbir,1034103
LIDFA,2022-02-26,2022-05-26,kap_tedbir,1033097
BASGZ,2022-01-28,2022-04-27,kap_tedbir,1025232
VKFYO,2023-03-03,2023-05-31,kap_tedbir,1155469
AVHOL,2023-01-05,2023-04-04,kap_tedbir,1132246
KRSTL,2022-12-29,2023-03-28,kap_tedbir,1129586
AVHOL,2022-12-17,2023-03-16,kap_tedbir,1126055
EUYO,2022-12-15,2023-03-14,kap_tedbir,1125335
IHGZT,2022-11-04,2023-02-01,kap_tedbir,1109295
KRGYO,2022-12-10,2023-03-09,kap_tedbir,1123082
DERIM,2022-12-10,2023-03-09,kap_tedbir,1123082
HATEK,2023-09-12,2023-12-10,kap_tedbir,1224727
ENSRI,2023-09-02,2023-11-30,kap_tedbir,1221716
KTLEV,2023-09-02,2023-11-30,kap_tedbir,1221716
TDGYO,2023-08-18,2023-11-15,kap_tedbir,1218542
EUKYO,2023-08-10,2023-11-07,kap_tedbir,1216059
AVTUR,2023-08-10,2023-11-07,kap_tedbir,1216059
BJKAS,2023-08-05,2023-11-02,kap_tedbir,1214167
CEOEM,2023-08-02,2023-10-30,kap_tedbir,1212723
FMIZP,2023-07-27,2023-10-24,kap_tedbir,1210160
PEKGY,2023-07-21,2023-10-18,kap_tedbir,1207848
OZGYO,2023-07-12,2023-10-09,kap_tedbir,1203992
AKFYE,2023-07-07,2023-10-04,kap_tedbir,1200548
AGYO,2023-06-23,2023-09-20,kap_tedbir,1196738
PEGYO,2023-06-21,2023-09-18,kap_tedbir,1196299
ATSYH,2023-06-16,2023-09-13,kap_tedbir,1195182
KONYA,2023-05-30,2023-08-27,kap_tedbir,1190050
PKART,2023-05-30,2023-08-27,kap_tedbir,1190050
AVHOL,2023-05-20,2023-08-17,kap_tedbir,1187387
