dosya,ticker,baslangic,bitis,ref_fiyat_ort,ref_fiyat_std,esik_ust_2sigma,esik_alt_2sigma,manip_min_fiyat,manip_max_fiyat,pump_orani,vol_ref_yillik,vol_manip_yillik,adr_ref_pct,adr_manip_pct,ref_gun_sayisi,manip_gun_sayisi,hata
w.docx,RAYSG,27.09.2025,26.12.2025,346.105,122.1794,590.4638,101.7462,218.4,272.25,0.7866,0.5887,0.3054,2.6023,1.4324,251.0,64.0,
w.docx,ETYAT,27.09.2025,26.12.2025,12.2831,2.3275,16.9382,7.628,21.6,29.16,2.374,0.5434,0.657,2.4392,3.2539,251.0,64.0,
w.docx,GLBMD,27.09.2025,26.12.2025,11.4179,1.5863,14.5904,8.2454,11.16,13.96,1.2226,0.537,0.4445,2.4326,1.9385,251.0,64.0,
x.docx,BASGZ,27.09.2024,26.12.2024,20.6281,4.9034,30.4349,10.8212,23.6164,30.3303,1.4703,0.4523,0.3364,2.1407,1.6986,250.0,64.0,
y.docx,EUKYO,18.08.2023,16.11.2023,5.0425,2.1872,9.4168,0.6681,9.15,17.83,3.536,0.7611,1.0288,3.6234,5.5062,250.0,64.0,
y.docx,AVTUR,18.08.2023,16.11.2023,3.5161,1.0747,5.6655,1.3668,6.39,11.26,3.2024,0.6481,0.9412,2.9281,4.8964,250.0,64.0,
z.docx,EKSUN,10.10.2024,08.01.2025,7.3774,0.7306,8.8386,5.9162,5.47,7.88,1.0681,0.4275,0.3677,1.9728,1.7221,250.0,63.0,
ç.docx,AVGYO,20.01.2024,19.04.2024,6.0158,2.4871,10.99,1.0416,7.39,10.12,1.6822,0.7614,0.5306,3.7689,2.5624,249.0,61.0,
ç.docx,BJKAS,20.01.2024,19.04.2024,28.1402,16.4008,60.9417,-4.6614,44.94,89.3,3.1734,0.5799,0.6512,2.6769,3.0428,249.0,61.0,
ö.docx,JANTS,14.11.2020,12.02.2021,1.3316,0.7982,2.928,-0.2648,2.9292,9.5797,7.1943,0.6945,0.7924,3.173,3.9907,251.0,64.0,
ü.docx,ITTFH,,,,,,,,,,,,,,,,veri_yok
ü.docx,DOBUR,,,,,,,,,,,,,,,,veri_yok
ğ.docx,ANHYT,27.10.2021,25.01.2022,6.6625,0.6074,7.8773,5.4476,6.816,11.1274,1.6702,0.3569,0.4167,1.5365,2.068,249.0,64.0,
ı.docx,JANTS,14.11.2020,12.02.2021,1.3316,0.7982,2.928,-0.2648,2.9292,9.5797,7.1943,0.6945,0.7924,3.173,3.9907,251.0,64.0,
ş.docx,DENGE,03.04.2020,02.07.2020,0.8492,0.1539,1.1571,0.5413,0.5044,1.0365,1.2206,0.7222,0.816,2.8407,3.9723,259.0,60.0,
