dosya,ticker,baslangic,bitis,ref_gun,manip_gun,ref_price_mean,ref_price_std,ref_volatilite,ref_adr,ref_rsi_mean,ref_gini_fiyat,ref_gini_hacim,ref_streak_max,manip_rsi_max,manip_hacim_spike,manip_volatilite,manip_zscore_max,manip_gini_fiyat,manip_gini_hacim,manip_streak_max,manip_adr,pump_orani
r.docx,ETYAT,08.11.2025,06.02.2026,251,64,13.8619,4.7799,0.5435,2.4497,51.767,0.174,0.3817,6.0,86.8687,2.5191,0.7296,3.2005,0.0405,0.2173,4.0,3.574,2.1036
s.docx,PNSUT,18.07.2025,16.10.2025,250,65,9.8715,1.209,0.3508,1.5132,46.0472,0.0666,0.3456,6.0,93.6,19.2776,0.4993,4.2418,0.0598,0.4403,5.0,2.3883,1.5195
t.docx,KIMMR,05.07.2022,03.10.2022,199,61,3.2282,0.1488,0.3466,1.4209,49.961,0.0212,0.495,5.0,99.8478,3.7621,0.6173,69.1049,0.2459,0.4229,10.0,3.2162,4.185
u.docx,TUREX,15.01.2021,15.04.2021,6,6,1.6323,0.2223,1.4179,9.9806,,0.0699,0.8227,4.0,,5.894,1.4179,1.4053,0.0699,0.8227,4.0,9.9806,1.183
v.docx,TDGYO,24.03.2020,31.03.2020,259,6,0.7228,0.2175,0.6118,2.4038,52.4382,0.1617,0.6393,7.0,64.4737,1.0945,0.0313,0.8546,0.09,0.2405,5.0,9.7932,1.2572
w.docx,PAMEL,27.09.2025,26.12.2025,251,64,94.3131,13.1391,0.4594,2.0537,49.561,0.0735,0.4714,5.0,78.6127,4.2378,0.4371,1.1198,0.0286,0.3974,4.0,2.0664,1.0932
w.docx,RAYSG,27.09.2025,26.12.2025,251,64,346.105,122.1794,0.5887,2.6023,50.5416,0.1881,0.54,6.0,71.1189,1.8065,0.3054,1.0452,0.0262,0.3281,3.0,1.4324,0.7866
w.docx,ETYAT,27.09.2025,26.12.2025,251,64,12.2831,2.3275,0.5434,2.4392,47.8392,0.1051,0.3585,6.0,88.3608,9.1122,0.657,7.2509,0.0365,0.3215,4.0,3.2539,2.374
w.docx,GLBMD,27.09.2025,26.12.2025,251,64,11.4179,1.5863,0.537,2.4326,51.0943,0.0754,0.594,7.0,69.2483,1.2148,0.4445,1.6026,0.0347,0.3372,3.0,1.9385,1.2226
x.docx,BASGZ,27.09.2024,26.12.2024,250,64,20.6281,4.9034,0.4523,2.1407,51.3502,0.1318,0.3794,5.0,97.7678,1.9778,0.3364,1.9787,0.0396,0.2537,6.0,1.6986,1.4703
y.docx,EUKYO,18.08.2023,16.11.2023,250,64,5.0425,2.1872,0.7611,3.6234,54.9066,0.1728,0.3791,9.0,81.0,3.1781,1.0288,5.8466,0.0902,0.2551,5.0,5.5062,3.536
y.docx,AVTUR,18.08.2023,16.11.2023,250,64,3.5161,1.0747,0.6481,2.9281,55.3509,0.1409,0.3764,9.0,86.2891,5.9644,0.9412,7.2058,0.0934,0.3389,5.0,4.8964,3.2024
z.docx,EKSUN,10.10.2024,08.01.2025,250,63,7.3774,0.7306,0.4275,1.9728,47.5194,0.0548,0.3591,8.0,87.6624,4.146,0.3677,2.6107,0.0487,0.3941,5.0,1.7221,1.0681
ç.docx,AVGYO,20.01.2024,19.04.2024,249,61,6.0158,2.4871,0.7614,3.7689,54.8967,0.2296,0.4162,6.0,78.125,3.5768,0.5306,1.6502,0.0373,0.3779,7.0,2.5624,1.6822
ç.docx,BJKAS,20.01.2024,19.04.2024,249,61,28.1402,16.4008,0.5799,2.6769,63.9282,0.3296,0.5513,11.0,97.3684,1.0955,0.6512,3.7291,0.0899,0.4116,11.0,3.0428,3.1734
ö.docx,JANTS,14.11.2020,12.02.2021,251,64,1.3316,0.7982,0.6945,3.173,59.4118,0.3037,0.5779,6.0,96.6868,10.8454,0.7924,10.3335,0.2025,0.4698,6.0,3.9907,7.1943
ğ.docx,ANHYT,27.10.2021,25.01.2022,249,64,6.6625,0.6074,0.3569,1.5365,52.3432,0.0494,0.4955,9.0,93.2989,2.878,0.4167,7.3506,0.0662,0.4216,7.0,2.068,1.6702
ı.docx,JANTS,14.11.2020,12.02.2021,251,64,1.3316,0.7982,0.6945,3.173,59.4118,0.3037,0.5779,6.0,96.6868,10.8454,0.7924,10.3335,0.2025,0.4698,6.0,3.9907,7.1943
ş.docx,DENGE,03.04.2020,02.07.2020,259,60,0.8492,0.1539,0.7222,2.8407,40.3808,0.0994,0.5676,3.0,89.4739,1.9571,0.816,2.2399,0.0925,0.3541,5.0,3.9723,1.2206
